Id,Price
725,158817.16
15856,200436.86
5480,208219.1
15664,391988.94
14275,138934.55
7633,243491.45
13329,188727.4
5502,212075.02
4220,295165.06
11538,207582.81
15975,286058.8
3310,218751.62
9286,153601.45
11260,185399.0
5214,103518.11
11307,180985.4
13543,389546.53
615,171369.25
3495,209082.28
2321,233907.19
12046,193298.64
16688,142061.28
12694,215549.1
783,154443.08
8968,159374.44
13454,179391.31
12190,263723.8
11160,138541.56
10291,195874.16
891,266357.88
2982,182404.39
3818,233494.78
2449,199918.38
8317,167010.84
4922,178737.17
1257,241340.47
9348,161011.03
4176,195082.72
10704,166317.89
6624,113600.555
5428,180052.5
12749,170340.42
8994,213311.48
11513,143588.8
3047,186503.45
9519,199629.81
12309,284610.8
14081,290628.7
8334,261845.22
6343,175379.52
14788,127473.41
15748,426788.84
153,232174.27
14149,184379.88
269,182660.44
5452,130924.15
721,179199.97
5079,324585.0
2831,108680.086
10614,116368.56
10131,270230.84
9996,270027.44
3061,199321.12
11733,295204.6
3726,246884.44
10929,217310.06
9011,203403.42
16182,324552.88
4976,180902.44
9897,245847.45
1872,154659.4
9205,371177.97
5403,413299.66
14074,199412.62
6268,155058.69
14232,169651.78
8532,240858.16
7034,372800.94
6553,504084.88
3133,169218.4
8596,206270.08
12389,241240.02
14462,177053.02
8860,337165.38
8377,295963.4
6367,322137.03
6917,242100.12
4216,188987.34
5806,166598.97
5438,180138.19
6632,197792.3
2650,147810.36
5396,224407.14
4044,158083.33
1345,239464.05
856,182486.77
12791,263746.88
12499,215151.69
12249,127926.6
14641,146239.55
1919,163407.78
7848,192308.17
10749,164925.48
15554,189023.53
15834,147655.0
1355,175917.2
15451,199646.42
12401,188255.64
10290,163686.03
9462,129019.38
3103,245942.31
3420,121383.65
12262,247383.31
5032,160294.94
8949,287632.25
15567,219250.48
16389,160761.19
7809,92309.734
8990,157625.53
16089,265127.16
12743,103279.9
5132,124798.375
1619,272709.84
2428,87663.36
16741,159147.23
13193,211206.33
12588,505350.34
5067,167743.03
14685,123145.195
2292,182232.97
5746,130048.69
12578,169274.4
14834,168266.17
2147,170003.2
8222,129984.336
10419,255011.7
11492,225091.23
3006,216674.9
8761,197470.88
15371,383180.88
16367,159618.72
6317,260925.22
10878,267302.94
3895,155122.42
8041,249862.88
13428,445959.4
14669,150880.02
1006,182787.8
